resume_text,skills,num_skills,years_experience,education,has_projects,has_certifications,num_sections,resume_score,role,clean_text,education_encoded,cluster
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in jenkins and bash, seeking a DevOps Engineer role. Completed coursework and internships involving monitoring and linux.

ACADEMIC BACKGROUND
PhD degree, relevant coursework in ci/cd.

CORE COMPETENCIES
aws, prometheus, bash, kubernetes, jenkins, linux, git, docker, ansible, ci/cd, monitoring

EXPERIENCE
DevOps Engineer, BrightPath Labs (2.9 yrs)
- Automated workflows involving jenkins, reducing manual effort.
- Used bash daily to support ongoing projects.

ACADEMIC PROJECTS
Recommendation Prototype
Built using jenkins and bash. Focused on solving a practical problem and deploying a working demo.","aws, prometheus, bash, kubernetes, jenkins, linux, git, docker, ansible, ci/cd, monitoring",11,2.9,PhD,1,0,5,77.9,DevOps Engineer,professional summary detail oriented professional skilled jenkins bash seeking devops engineer role completed coursework internship involving monitoring linux academic background phd degree relevant coursework core competency aws prometheus bash kubernetes jenkins linux git docker ansible monitoring experience devops engineer brightpath lab yr automated workflow involving jenkins reducing manual effort used bash daily support ongoing project academic project recommendation prototype built using jenkins bash focused solving practical problem deploying working demo,3,0
"OBJECTIVE
Results-driven Software Engineer with 1.0 years of practical exposure to git and linux. Enjoys solving problems with sql.

EDUCATION
Bachelors degree, relevant coursework in python.

SKILLS
data structures, java, c++, git, system design, linux, sql, algorithms

CERTIFICATIONS
Relevant certification related to python.","data structures, java, c++, git, system design, linux, sql, algorithms",8,1.0,Bachelors,0,1,4,57.0,Software Engineer,objective result driven software engineer year practical exposure git linux enjoys solving problem sql education bachelor degree relevant coursework python skill data structure java git system design linux sql algorithm certification relevant certification related python,1,2
"OBJECTIVE
Results-driven Database Administrator with 0.3 years of practical exposure to linux and query optimization. Enjoys solving problems with mongodb.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in mysql.

SKILLS
linux, query optimization, oracle, mongodb, etl, indexing, nlp

EXPERIENCE
Database Administrator, Skyline Systems (0.5 yrs)
- Built and maintained systems using linux and query optimization.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Mini Analytics Engine
Applied linux to analyze data and query optimization to build the final solution, presenting results to peers.

Data Insights Dashboard
Built using linux and query optimization. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to mysql.","linux, query optimization, oracle, mongodb, etl, indexing, nlp",7,0.3,Masters,1,1,6,57.8,Database Administrator,objective result driven database administrator year practical exposure linux query optimization enjoys solving problem mongodb academic background master degree relevant coursework mysql skill linux query optimization oracle mongodb etl indexing nlp experience database administrator skyline system yr built maintained system using linux query optimization collaborated small team ship feature schedule personal project mini analytics engine applied linux analyze data query optimization build final solution presenting result peer data insight dashboard built using linux query optimization focused solving practical problem deploying working demo certificate relevant certification related mysql,2,4
"ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in mongodb.

SKILLS
sql, flask, django, excel, java, python, rest api, node.js, mongodb, algorithms, git, microservices

PROJECTS
Mini Analytics Engine
Applied python to analyze data and django to build the final solution, presenting results to peers.

Campus Utility App
Built using python and django. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to microservices.","sql, flask, django, excel, java, python, rest api, node.js, mongodb, algorithms, git, microservices",12,0.5,Bachelors,1,1,4,74.4,Backend Developer,academic background bachelor degree relevant coursework mongodb skill sql flask django excel java python rest api node mongodb algorithm git microservices project mini analytics engine applied python analyze data django build final solution presenting result peer campus utility app built using python django focused solving practical problem deploying working demo certificate relevant certification related microservices,1,4
"PROFILE
Detail-oriented professional skilled in cryptography and firewalls, seeking a Cybersecurity Analyst role. Completed coursework and internships involving incident response and penetration testing.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in network security.

CORE COMPETENCIES
vulnerability assessment, next.js, cryptography, network security, linux, python, wireshark, firewalls, incident response, penetration testing

EXPERIENCE
Cybersecurity Analyst Intern, BrightPath Labs (2.0 yrs)
- Assisted senior engineers with tasks involving cryptography and incident response.
- Learned firewalls on the job through mentorship.","vulnerability assessment, next.js, cryptography, network security, linux, python, wireshark, firewalls, incident response, penetration testing",10,2.0,Diploma,0,0,4,64.0,Cybersecurity Analyst,profile detail oriented professional skilled cryptography firewall seeking cybersecurity analyst role completed coursework internship involving incident response penetration testing academic background diploma degree relevant coursework network security core competency vulnerability assessment next cryptography network security linux python wireshark firewall incident response penetration testing experience cybersecurity analyst intern brightpath lab yr assisted senior engineer task involving cryptography incident response learned firewall job mentorship,0,1
"SUMMARY
Motivated Frontend Developer with hands-on experience in responsive design, webpack and css. Built projects applying figma to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in webpack.

SKILLS
webpack, figma, css, excel, prototyping, cloudformation, mongodb, responsive design, next.js, redux

PROFESSIONAL EXPERIENCE
Frontend Developer Intern, Vertex Digital (0.5 yrs)
- Assisted senior engineers with tasks involving responsive design and css.
- Learned webpack on the job through mentorship.

ACADEMIC PROJECTS
Automation Toolkit
Built using responsive design and webpack. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to git.","webpack, figma, css, excel, prototyping, cloudformation, mongodb, responsive design, next.js, redux",10,0.3,Bachelors,1,1,6,63.8,Frontend Developer,summary motivated frontend developer hand experience responsive design webpack cs built project applying figma solve real world problem education bachelor degree relevant coursework webpack skill webpack figma cs excel prototyping cloudformation mongodb responsive design next redux professional experience frontend developer intern vertex digital yr assisted senior engineer task involving responsive design cs learned webpack job mentorship academic project automation toolkit built using responsive design webpack focused solving practical problem deploying working demo certification relevant certification related git,1,4
"EDUCATION
Diploma degree, relevant coursework in redux.

CORE COMPETENCIES
typescript, javascript, git, html, css

WORK EXPERIENCE
Frontend Developer, Cascade Consulting (1.0 yrs)
- Built and maintained systems using javascript and git.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Campus Utility App
Built using javascript and git. Focused on solving a practical problem and deploying a working demo.","typescript, javascript, git, html, css",5,1.0,Diploma,1,0,4,40.8,Frontend Developer,education diploma degree relevant coursework redux core competency typescript javascript git html cs work experience frontend developer cascade consulting yr built maintained system using javascript git collaborated small team ship feature schedule project campus utility app built using javascript git focused solving practical problem deploying working demo,0,0
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in design systems and prototyping, seeking a UI/UX Designer role. Completed coursework and internships involving html and adobe xd.

EDUCATION
Masters degree, relevant coursework in html.

TECHNICAL SKILLS
design systems, sketch, adobe xd, user research, prototyping, html, wireframing

WORK EXPERIENCE
UI/UX Designer Intern, BrightPath Labs (0.7 yrs)
- Assisted senior engineers with tasks involving design systems and html.
- Learned prototyping on the job through mentorship.

PERSONAL PROJECTS
Personal Portfolio System
Applied design systems to analyze data and prototyping to build the final solution, presenting results to peers.","design systems, sketch, adobe xd, user research, prototyping, html, wireframing",7,0.7,Masters,1,0,5,70.0,UI/UX Designer,professional summary detail oriented professional skilled design system prototyping seeking designer role completed coursework internship involving html adobe education master degree relevant coursework html technical skill design system sketch adobe user research prototyping html wireframing work experience designer intern brightpath lab yr assisted senior engineer task involving design system html learned prototyping job mentorship personal project personal portfolio system applied design system analyze data prototyping build final solution presenting result peer,2,0
"OBJECTIVE
Detail-oriented professional skilled in wireframing and css, seeking a UI/UX Designer role. Completed coursework and internships involving adobe xd and usability testing.

EDUCATION
Diploma degree, relevant coursework in html.

CORE COMPETENCIES
css, wireframing, adobe xd, usability testing

PROFESSIONAL EXPERIENCE
UI/UX Designer, Northwind Software (0.5 yrs)
- Built and maintained systems using wireframing and css.
- Collaborated with a small team to ship features on schedule.","css, wireframing, adobe xd, usability testing",4,0.5,Diploma,0,0,4,29.1,UI/UX Designer,objective detail oriented professional skilled wireframing cs seeking designer role completed coursework internship involving adobe usability testing education diploma degree relevant coursework html core competency cs wireframing adobe usability testing professional experience designer northwind software yr built maintained system using wireframing cs collaborated small team ship feature schedule,0,1
"SUMMARY
Software Engineer candidate with a strong foundation in data structures, linux, java. Passionate about algorithms and continuous learning.

EDUCATION
Bachelors degree, relevant coursework in git.

TECHNICAL SKILLS
algorithms, linux, java, user research, gcp, aws, data structures, junit

PERSONAL PROJECTS
Data Insights Dashboard
Applied data structures to analyze data and linux to build the final solution, presenting results to peers.

Automation Toolkit
Built using data structures and linux. Focused on solving a practical problem and deploying a working demo.","algorithms, linux, java, user research, gcp, aws, data structures, junit",8,0.2,Bachelors,1,0,4,44.1,Software Engineer,summary software engineer candidate strong foundation data structure linux java passionate algorithm continuous learning education bachelor degree relevant coursework git technical skill algorithm linux java user research gcp aws data structure junit personal project data insight dashboard applied data structure analyze data linux build final solution presenting result peer automation toolkit built using data structure linux focused solving practical problem deploying working demo,1,0
"ACADEMIC BACKGROUND
Diploma degree, relevant coursework in tableau.

CORE COMPETENCIES
excel, power bi, tableau, jira, stakeholder management, css, webpack, sql, requirements gathering","excel, power bi, tableau, jira, stakeholder management, css, webpack, sql, requirements gathering",9,1.2,Diploma,0,0,2,49.8,Business Analyst,academic background diploma degree relevant coursework tableau core competency excel power tableau jira stakeholder management cs webpack sql requirement gathering,0,1
"SUMMARY
Results-driven Backend Developer with 5.8 years of practical exposure to git and docker. Enjoys solving problems with microservices.

EDUCATION
Bachelors degree, relevant coursework in java.

SKILLS
java, sql, mongodb, docker, microservices, redis, git

EXPERIENCE
Backend Developer Intern, Acme Solutions (5.8 yrs)
- Assisted senior engineers with tasks involving git and microservices.
- Learned docker on the job through mentorship.

ACADEMIC PROJECTS
Campus Utility App
Built using git and docker. Focused on solving a practical problem and deploying a working demo.

Data Insights Dashboard
Built using git and docker. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to node.js.","java, sql, mongodb, docker, microservices, redis, git",7,5.8,Bachelors,1,1,6,71.3,Backend Developer,summary result driven backend developer year practical exposure git docker enjoys solving problem microservices education bachelor degree relevant coursework java skill java sql mongodb docker microservices redis git experience backend developer intern acme solution yr assisted senior engineer task involving git microservices learned docker job mentorship academic project campus utility app built using git docker focused solving practical problem deploying working demo data insight dashboard built using git docker focused solving practical problem deploying working demo certificate relevant certification related node,1,3
"EDUCATION
Bachelors degree, relevant coursework in jira.

CORE COMPETENCIES
monitoring, jira, requirements gathering, tableau, data analysis, power bi, sql, agile, excel

WORK EXPERIENCE
Business Analyst, BrightPath Labs (0.5 yrs)
- Built and maintained systems using power bi and agile.
- Collaborated with a small team to ship features on schedule.

CERTIFICATIONS
Relevant certification related to requirements gathering.","monitoring, jira, requirements gathering, tableau, data analysis, power bi, sql, agile, excel",9,0.3,Bachelors,0,1,4,61.5,Business Analyst,education bachelor degree relevant coursework jira core competency monitoring jira requirement gathering tableau data analysis power sql agile excel work experience business analyst brightpath lab yr built maintained system using power agile collaborated small team ship feature schedule certification relevant certification related requirement gathering,1,2
"OBJECTIVE
Detail-oriented professional skilled in jira and agile, seeking a Business Analyst role. Completed coursework and internships involving requirements gathering and excel.

EDUCATION
PhD degree, relevant coursework in excel.

CORE COMPETENCIES
excel, requirements gathering, react, sql, agile, data analysis, tensorflow, jira, javascript

PROFESSIONAL EXPERIENCE
Business Analyst, Vertex Digital (0.5 yrs)
- Built and maintained systems using jira and agile.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Recommendation Prototype
Built using jira and agile. Focused on solving a practical problem and deploying a working demo.","excel, requirements gathering, react, sql, agile, data analysis, tensorflow, jira, javascript",9,0.2,PhD,1,0,5,57.8,Business Analyst,objective detail oriented professional skilled jira agile seeking business analyst role completed coursework internship involving requirement gathering excel education phd degree relevant coursework excel core competency excel requirement gathering react sql agile data analysis tensorflow jira javascript professional experience business analyst vertex digital yr built maintained system using jira agile collaborated small team ship feature schedule project recommendation prototype built using jira agile focused solving practical problem deploying working demo,3,0
"OBJECTIVE
Frontend Developer candidate with a strong foundation in next.js, typescript, react. Passionate about css and continuous learning.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in javascript.

TECHNICAL SKILLS
git, responsive design, html, django, figma, typescript, redux, azure, next.js, webpack, react, css

PROFESSIONAL EXPERIENCE
Frontend Developer, NovaTech (2.1 yrs)
- Built and maintained systems using next.js and typescript.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Recommendation Prototype
Built using next.js and typescript. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to next.js.","git, responsive design, html, django, figma, typescript, redux, azure, next.js, webpack, react, css",12,2.1,Diploma,1,1,6,84.5,Frontend Developer,objective frontend developer candidate strong foundation next typescript react passionate cs continuous learning academic background diploma degree relevant coursework javascript technical skill git responsive design html django figma typescript redux azure next webpack react cs professional experience frontend developer novatech yr built maintained system using next typescript collaborated small team ship feature schedule project recommendation prototype built using next typescript focused solving practical problem deploying working demo certificate relevant certification related next,0,4
"PROFESSIONAL SUMMARY
Motivated Software Engineer with hands-on experience in git, sql and java. Built projects applying c++ to solve real-world problems.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in algorithms.

CORE COMPETENCIES
c++, system design, python, oop, data structures, algorithms, linux, git, sql, junit, java, wireframing, rest api

EXPERIENCE
Software Engineer, Quantum Analytics (2.3 yrs)
- Built and maintained systems using git and sql.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Mini Analytics Engine
Applied git to analyze data and sql to build the final solution, presenting results to peers.","c++, system design, python, oop, data structures, algorithms, linux, git, sql, junit, java, wireframing, rest api",13,2.3,Diploma,1,0,5,86.0,Software Engineer,professional summary motivated software engineer hand experience git sql java built project applying solve real world problem academic background diploma degree relevant coursework algorithm core competency system design python oop data structure algorithm linux git sql junit java wireframing rest api experience software engineer quantum analytics yr built maintained system using git sql collaborated small team ship feature schedule academic project mini analytics engine applied git analyze data sql build final solution presenting result peer,0,0
"SUMMARY
UI/UX Designer candidate with a strong foundation in sketch, html, adobe xd. Passionate about css and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in sketch.

CORE COMPETENCIES
numpy, usability testing, design systems, figma, html, sketch, computer vision, wireframing, user research, adobe xd, css, prototyping

EXPERIENCE
UI/UX Designer, Vertex Digital (0.9 yrs)
- Automated workflows involving sketch, reducing manual effort.
- Used html daily to support ongoing projects.

PERSONAL PROJECTS
Mini Analytics Engine
Applied sketch to analyze data and html to build the final solution, presenting results to peers.","numpy, usability testing, design systems, figma, html, sketch, computer vision, wireframing, user research, adobe xd, css, prototyping",12,0.9,Bachelors,1,0,5,81.0,UI/UX Designer,summary designer candidate strong foundation sketch html adobe passionate cs continuous learning academic background bachelor degree relevant coursework sketch core competency numpy usability testing design system figma html sketch computer vision wireframing user research adobe cs prototyping experience designer vertex digital yr automated workflow involving sketch reducing manual effort used html daily support ongoing project personal project mini analytics engine applied sketch analyze data html build final solution presenting result peer,1,0
"OBJECTIVE
Frontend Developer candidate with a strong foundation in next.js, typescript, redux. Passionate about html and continuous learning.

EDUCATION
Bachelors degree, relevant coursework in figma.

TECHNICAL SKILLS
html, bash, redux, deep learning, next.js, react, c++, typescript

ACADEMIC PROJECTS
Mini Analytics Engine
Applied next.js to analyze data and typescript to build the final solution, presenting results to peers.","html, bash, redux, deep learning, next.js, react, c++, typescript",8,1.4,Bachelors,1,0,4,41.2,Frontend Developer,objective frontend developer candidate strong foundation next typescript redux passionate html continuous learning education bachelor degree relevant coursework figma technical skill html bash redux deep learning next react typescript academic project mini analytics engine applied next analyze data typescript build final solution presenting result peer,1,0
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in pandas and machine learning, seeking a Data Scientist role. Completed coursework and internships involving statistics and r.

EDUCATION
Bachelors degree, relevant coursework in pandas.

CORE COMPETENCIES
penetration testing, c++, siem, machine learning, r, statistics, pandas

PROJECTS
Recommendation Prototype
Applied pandas to analyze data and machine learning to build the final solution, presenting results to peers.

Automation Toolkit
Applied pandas to analyze data and machine learning to build the final solution, presenting results to peers.","penetration testing, c++, siem, machine learning, r, statistics, pandas",7,1.0,Bachelors,1,0,4,40.4,Data Scientist,professional summary detail oriented professional skilled panda machine learning seeking data scientist role completed coursework internship involving statistic education bachelor degree relevant coursework panda core competency penetration testing siem machine learning statistic panda project recommendation prototype applied panda analyze data machine learning build final solution presenting result peer automation toolkit applied panda analyze data machine learning build final solution presenting result peer,1,0
