resume_text,skills,num_skills,years_experience,education,has_projects,has_certifications,num_sections,resume_score,role
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in jenkins and bash, seeking a DevOps Engineer role. Completed coursework and internships involving monitoring and linux.

ACADEMIC BACKGROUND
PhD degree, relevant coursework in ci/cd.

CORE COMPETENCIES
aws, prometheus, bash, kubernetes, jenkins, linux, git, docker, ansible, ci/cd, monitoring

EXPERIENCE
DevOps Engineer, BrightPath Labs (2.9 yrs)
- Automated workflows involving jenkins, reducing manual effort.
- Used bash daily to support ongoing projects.

ACADEMIC PROJECTS
Recommendation Prototype
Built using jenkins and bash. Focused on solving a practical problem and deploying a working demo.","aws, prometheus, bash, kubernetes, jenkins, linux, git, docker, ansible, ci/cd, monitoring",11,2.9,PhD,1,0,5,77.9,DevOps Engineer
"OBJECTIVE
Results-driven Software Engineer with 1.0 years of practical exposure to git and linux. Enjoys solving problems with sql.

EDUCATION
Bachelors degree, relevant coursework in python.

SKILLS
data structures, java, c++, git, system design, linux, sql, algorithms

CERTIFICATIONS
Relevant certification related to python.","data structures, java, c++, git, system design, linux, sql, algorithms",8,1.0,Bachelors,0,1,4,57.0,Software Engineer
"OBJECTIVE
Results-driven Database Administrator with 0.3 years of practical exposure to linux and query optimization. Enjoys solving problems with mongodb.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in mysql.

SKILLS
linux, query optimization, oracle, mongodb, etl, indexing, nlp

EXPERIENCE
Database Administrator, Skyline Systems (0.5 yrs)
- Built and maintained systems using linux and query optimization.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Mini Analytics Engine
Applied linux to analyze data and query optimization to build the final solution, presenting results to peers.

Data Insights Dashboard
Built using linux and query optimization. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to mysql.","linux, query optimization, oracle, mongodb, etl, indexing, nlp",7,0.3,Masters,1,1,6,57.8,Database Administrator
"ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in mongodb.

SKILLS
sql, flask, django, excel, java, python, rest api, node.js, mongodb, algorithms, git, microservices

PROJECTS
Mini Analytics Engine
Applied python to analyze data and django to build the final solution, presenting results to peers.

Campus Utility App
Built using python and django. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to microservices.","sql, flask, django, excel, java, python, rest api, node.js, mongodb, algorithms, git, microservices",12,0.5,Bachelors,1,1,4,74.4,Backend Developer
"PROFILE
Detail-oriented professional skilled in cryptography and firewalls, seeking a Cybersecurity Analyst role. Completed coursework and internships involving incident response and penetration testing.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in network security.

CORE COMPETENCIES
vulnerability assessment, next.js, cryptography, network security, linux, python, wireshark, firewalls, incident response, penetration testing

EXPERIENCE
Cybersecurity Analyst Intern, BrightPath Labs (2.0 yrs)
- Assisted senior engineers with tasks involving cryptography and incident response.
- Learned firewalls on the job through mentorship.","vulnerability assessment, next.js, cryptography, network security, linux, python, wireshark, firewalls, incident response, penetration testing",10,2.0,Diploma,0,0,4,64.0,Cybersecurity Analyst
"SUMMARY
Motivated Frontend Developer with hands-on experience in responsive design, webpack and css. Built projects applying figma to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in webpack.

SKILLS
webpack, figma, css, excel, prototyping, cloudformation, mongodb, responsive design, next.js, redux

PROFESSIONAL EXPERIENCE
Frontend Developer Intern, Vertex Digital (0.5 yrs)
- Assisted senior engineers with tasks involving responsive design and css.
- Learned webpack on the job through mentorship.

ACADEMIC PROJECTS
Automation Toolkit
Built using responsive design and webpack. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to git.","webpack, figma, css, excel, prototyping, cloudformation, mongodb, responsive design, next.js, redux",10,0.3,Bachelors,1,1,6,63.8,Frontend Developer
"EDUCATION
Diploma degree, relevant coursework in redux.

CORE COMPETENCIES
typescript, javascript, git, html, css

WORK EXPERIENCE
Frontend Developer, Cascade Consulting (1.0 yrs)
- Built and maintained systems using javascript and git.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Campus Utility App
Built using javascript and git. Focused on solving a practical problem and deploying a working demo.","typescript, javascript, git, html, css",5,1.0,Diploma,1,0,4,40.8,Frontend Developer
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in design systems and prototyping, seeking a UI/UX Designer role. Completed coursework and internships involving html and adobe xd.

EDUCATION
Masters degree, relevant coursework in html.

TECHNICAL SKILLS
design systems, sketch, adobe xd, user research, prototyping, html, wireframing

WORK EXPERIENCE
UI/UX Designer Intern, BrightPath Labs (0.7 yrs)
- Assisted senior engineers with tasks involving design systems and html.
- Learned prototyping on the job through mentorship.

PERSONAL PROJECTS
Personal Portfolio System
Applied design systems to analyze data and prototyping to build the final solution, presenting results to peers.","design systems, sketch, adobe xd, user research, prototyping, html, wireframing",7,0.7,Masters,1,0,5,70.0,UI/UX Designer
"OBJECTIVE
Detail-oriented professional skilled in wireframing and css, seeking a UI/UX Designer role. Completed coursework and internships involving adobe xd and usability testing.

EDUCATION
Diploma degree, relevant coursework in html.

CORE COMPETENCIES
css, wireframing, adobe xd, usability testing

PROFESSIONAL EXPERIENCE
UI/UX Designer, Northwind Software (0.5 yrs)
- Built and maintained systems using wireframing and css.
- Collaborated with a small team to ship features on schedule.","css, wireframing, adobe xd, usability testing",4,0.5,Diploma,0,0,4,29.1,UI/UX Designer
"SUMMARY
Software Engineer candidate with a strong foundation in data structures, linux, java. Passionate about algorithms and continuous learning.

EDUCATION
Bachelors degree, relevant coursework in git.

TECHNICAL SKILLS
algorithms, linux, java, user research, gcp, aws, data structures, junit

PERSONAL PROJECTS
Data Insights Dashboard
Applied data structures to analyze data and linux to build the final solution, presenting results to peers.

Automation Toolkit
Built using data structures and linux. Focused on solving a practical problem and deploying a working demo.","algorithms, linux, java, user research, gcp, aws, data structures, junit",8,0.2,Bachelors,1,0,4,44.1,Software Engineer
"ACADEMIC BACKGROUND
Diploma degree, relevant coursework in tableau.

CORE COMPETENCIES
excel, power bi, tableau, jira, stakeholder management, css, webpack, sql, requirements gathering","excel, power bi, tableau, jira, stakeholder management, css, webpack, sql, requirements gathering",9,1.2,Diploma,0,0,2,49.8,Business Analyst
"SUMMARY
Results-driven Backend Developer with 5.8 years of practical exposure to git and docker. Enjoys solving problems with microservices.

EDUCATION
Bachelors degree, relevant coursework in java.

SKILLS
java, sql, mongodb, docker, microservices, redis, git

EXPERIENCE
Backend Developer Intern, Acme Solutions (5.8 yrs)
- Assisted senior engineers with tasks involving git and microservices.
- Learned docker on the job through mentorship.

ACADEMIC PROJECTS
Campus Utility App
Built using git and docker. Focused on solving a practical problem and deploying a working demo.

Data Insights Dashboard
Built using git and docker. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to node.js.","java, sql, mongodb, docker, microservices, redis, git",7,5.8,Bachelors,1,1,6,71.3,Backend Developer
"EDUCATION
Bachelors degree, relevant coursework in jira.

CORE COMPETENCIES
monitoring, jira, requirements gathering, tableau, data analysis, power bi, sql, agile, excel

WORK EXPERIENCE
Business Analyst, BrightPath Labs (0.5 yrs)
- Built and maintained systems using power bi and agile.
- Collaborated with a small team to ship features on schedule.

CERTIFICATIONS
Relevant certification related to requirements gathering.","monitoring, jira, requirements gathering, tableau, data analysis, power bi, sql, agile, excel",9,0.3,Bachelors,0,1,4,61.5,Business Analyst
"OBJECTIVE
Detail-oriented professional skilled in jira and agile, seeking a Business Analyst role. Completed coursework and internships involving requirements gathering and excel.

EDUCATION
PhD degree, relevant coursework in excel.

CORE COMPETENCIES
excel, requirements gathering, react, sql, agile, data analysis, tensorflow, jira, javascript

PROFESSIONAL EXPERIENCE
Business Analyst, Vertex Digital (0.5 yrs)
- Built and maintained systems using jira and agile.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Recommendation Prototype
Built using jira and agile. Focused on solving a practical problem and deploying a working demo.","excel, requirements gathering, react, sql, agile, data analysis, tensorflow, jira, javascript",9,0.2,PhD,1,0,5,57.8,Business Analyst
"OBJECTIVE
Frontend Developer candidate with a strong foundation in next.js, typescript, react. Passionate about css and continuous learning.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in javascript.

TECHNICAL SKILLS
git, responsive design, html, django, figma, typescript, redux, azure, next.js, webpack, react, css

PROFESSIONAL EXPERIENCE
Frontend Developer, NovaTech (2.1 yrs)
- Built and maintained systems using next.js and typescript.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Recommendation Prototype
Built using next.js and typescript. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to next.js.","git, responsive design, html, django, figma, typescript, redux, azure, next.js, webpack, react, css",12,2.1,Diploma,1,1,6,84.5,Frontend Developer
"PROFESSIONAL SUMMARY
Motivated Software Engineer with hands-on experience in git, sql and java. Built projects applying c++ to solve real-world problems.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in algorithms.

CORE COMPETENCIES
c++, system design, python, oop, data structures, algorithms, linux, git, sql, junit, java, wireframing, rest api

EXPERIENCE
Software Engineer, Quantum Analytics (2.3 yrs)
- Built and maintained systems using git and sql.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Mini Analytics Engine
Applied git to analyze data and sql to build the final solution, presenting results to peers.","c++, system design, python, oop, data structures, algorithms, linux, git, sql, junit, java, wireframing, rest api",13,2.3,Diploma,1,0,5,86.0,Software Engineer
"SUMMARY
UI/UX Designer candidate with a strong foundation in sketch, html, adobe xd. Passionate about css and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in sketch.

CORE COMPETENCIES
numpy, usability testing, design systems, figma, html, sketch, computer vision, wireframing, user research, adobe xd, css, prototyping

EXPERIENCE
UI/UX Designer, Vertex Digital (0.9 yrs)
- Automated workflows involving sketch, reducing manual effort.
- Used html daily to support ongoing projects.

PERSONAL PROJECTS
Mini Analytics Engine
Applied sketch to analyze data and html to build the final solution, presenting results to peers.","numpy, usability testing, design systems, figma, html, sketch, computer vision, wireframing, user research, adobe xd, css, prototyping",12,0.9,Bachelors,1,0,5,81.0,UI/UX Designer
"OBJECTIVE
Frontend Developer candidate with a strong foundation in next.js, typescript, redux. Passionate about html and continuous learning.

EDUCATION
Bachelors degree, relevant coursework in figma.

TECHNICAL SKILLS
html, bash, redux, deep learning, next.js, react, c++, typescript

ACADEMIC PROJECTS
Mini Analytics Engine
Applied next.js to analyze data and typescript to build the final solution, presenting results to peers.","html, bash, redux, deep learning, next.js, react, c++, typescript",8,1.4,Bachelors,1,0,4,41.2,Frontend Developer
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in pandas and machine learning, seeking a Data Scientist role. Completed coursework and internships involving statistics and r.

EDUCATION
Bachelors degree, relevant coursework in pandas.

CORE COMPETENCIES
penetration testing, c++, siem, machine learning, r, statistics, pandas

PROJECTS
Recommendation Prototype
Applied pandas to analyze data and machine learning to build the final solution, presenting results to peers.

Automation Toolkit
Applied pandas to analyze data and machine learning to build the final solution, presenting results to peers.","penetration testing, c++, siem, machine learning, r, statistics, pandas",7,1.0,Bachelors,1,0,4,40.4,Data Scientist
"OBJECTIVE
Detail-oriented professional skilled in power bi and matplotlib, seeking a Data Scientist role. Completed coursework and internships involving statistics and machine learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in scikit-learn.

CORE COMPETENCIES
usability testing, ci/cd, scikit-learn, pandas, statistics, excel, tableau, machine learning, python, jira, sql, r, power bi, matplotlib, gcp

WORK EXPERIENCE
Data Scientist Intern, Acme Solutions (0.5 yrs)
- Assisted senior engineers with tasks involving power bi and statistics.
- Learned matplotlib on the job through mentorship.

ACADEMIC PROJECTS
Recommendation Prototype
Built using power bi and matplotlib. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to matplotlib.","usability testing, ci/cd, scikit-learn, pandas, statistics, excel, tableau, machine learning, python, jira, sql, r, power bi, matplotlib, gcp",15,0.1,Bachelors,1,1,6,76.4,Data Scientist
"SUMMARY
Detail-oriented professional skilled in computer vision and opencv, seeking a AI Engineer role. Completed coursework and internships involving git and docker.

EDUCATION
Bachelors degree, relevant coursework in opencv.

SKILLS
git, machine learning, rest api, keras, opencv, sql, nlp, python, tensorflow, pytorch, computer vision, docker, deep learning","git, machine learning, rest api, keras, opencv, sql, nlp, python, tensorflow, pytorch, computer vision, docker, deep learning",13,0.5,Bachelors,0,0,3,60.2,AI Engineer
